SampleNum	GroupNum	objId	Concentration
161	35	1004554	1.0
162	35	1004555	10.0
163	35	1004556	100.0
164	36	1004572	0.1
165	36	1004573	1.0
166	36	1004574	10.0
167	36	1004575	100.0
168	37	1004576	0.1
169	37	1004577	1.0
170	37	1004578	10.0
171	37	1004579	100.0
172	38	1004580	0.1
173	38	1004581	1.0
